frame.time_epoch,ip.src,ip.dst,tcp.srcport,tcp.dstport,tcp.flags,tcp.checksum,tcp.flags.ack,tcp.len,tcp.connection.syn,tcp.connection.fin,tcp.connection.synack,tcp.connection.rst,http.content_length,http.response.code,http.response.phrase
"269.800173281","10.1.1.1","10.1.1.10","80","49153","0x0010","0x0000","1","0",,,,,,,
"269.800216281","10.1.1.1","10.1.1.2","80","49153","0x0010","0x0000","1","0",,,,,,,
"269.800273441","10.1.1.13","10.1.1.1","49153","80","0x0010","0x0000","1","116",,,,,,,
"269.800312681","10.1.1.1","10.1.1.8","80","49153","0x0010","0x0000","1","0",,,,,,,
"269.900021281","10.1.1.1","10.1.1.11","80","49153","0x0010","0x0000","1","0",,,,,,,
"269.900021521","10.1.1.9","10.1.1.1","49153","80","0x0010","0x0000","1","117",,,,,,,
"269.900100281","10.1.1.4","10.1.1.1","49153","80","0x0010","0x0000","1","114",,,,,,,
"270.000021441","10.1.1.1","10.1.1.6","80","49153","0x0010","0x0000","1","0",,,,,,,
"270.000021521","10.1.1.7","10.1.1.1","49153","80","0x0010","0x0000","1","117",,,,,,,
"270.000043281","10.1.1.1","10.1.1.20","80","49153","0x0010","0x0000","1","0",,,,,,,
"270.000058281","10.1.1.11","10.1.1.1","49153","80","0x0010","0x0000","1","114",,,,,,,
"270.000162521","10.1.1.1","10.1.1.17","80","49153","0x0010","0x0000","1","0",,,,,,,
"270.000273441","10.1.1.1","10.1.1.13","80","49153","0x0010","0x0000","1","0",,,,,,,
"270.100021281","10.1.1.21","10.1.1.1","49153","80","0x0010","0x0000","1","114",,,,,,,
"270.100021521","10.1.1.1","10.1.1.9","80","49153","0x0010","0x0000","1","0",,,,,,,
"270.100058521","10.1.1.2","10.1.1.1","49153","80","0x0010","0x0000","1","117",,,,,,,
"270.100081521","10.1.1.10","10.1.1.1","49153","80","0x0010","0x0000","1","117",,,,,,,
"270.100100281","10.1.1.1","10.1.1.4","80","49153","0x0010","0x0000","1","0",,,,,,,
"270.200021281","10.1.1.12","10.1.1.1","49153","80","0x0010","0x0000","1","114",,,,,,,
"270.200021521","10.1.1.1","10.1.1.7","80","49153","0x0010","0x0000","1","0",,,,,,,
"270.200055441","10.1.1.15","10.1.1.1","49153","80","0x0010","0x0000","1","116",,,,,,,
"270.200058281","10.1.1.1","10.1.1.11","80","49153","0x0010","0x0000","1","0",,,,,,,
"270.200102281","10.1.1.6","10.1.1.1","49153","80","0x0010","0x0000","1","114",,,,,,,
"270.200133521","10.1.1.8","10.1.1.1","49153","80","0x0010","0x0000","1","117",,,,,,,
"270.200171281","10.1.1.9","10.1.1.1","49153","80","0x0010","0x0000","1","114",,,,,,,
"270.200399521","10.1.1.19","10.1.1.1","49153","80","0x0010","0x0000","1","117",,,,,,,
"270.300021281","10.1.1.1","10.1.1.21","80","49153","0x0010","0x0000","1","0",,,,,,,
"270.300021441","10.1.1.7","10.1.1.1","49153","80","0x0010","0x0000","1","116",,,,,,,
"270.300058521","10.1.1.1","10.1.1.2","80","49153","0x0010","0x0000","1","0",,,,,,,
"270.300081521","10.1.1.1","10.1.1.10","80","49153","0x0010","0x0000","1","0",,,,,,,
